1896625:  R.. 0x19b3d
1899375:  R.v 0x05bf4
1901250:  Rbv 0x05bf5
1903125:  Rbv 0x05bf6
1905000:  Rbv 0x05bf7
1908750:  R.. 0x0d67c
1911625:  R.. 0x1dbff
1914500:  R.v 0x05bf8
1916375:  Rbv 0x05bf9
1918250:  Rbv 0x05bfa
1920125:  Rbv 0x05bfb
1923875:  R.. 0x1ffff
1926625:  W.. 0x1db3d
1929500:  R.v 0x05bfc
1931375:  Rbv 0x05bfd
1933250:  Rbv 0x05bfe
1935125:  Rbv 0x05bff
1938875:  R.. 0x0d600
1940750:  Rb. 0x0d601
1942625:  Rb. 0x0d602
1945000:  R.. 0x0d600
1946875:  Rb. 0x0d601
1948750:  Rb. 0x0d602
1951125:  R.. 0x19b3e
1953875:  R.. 0x0d807
1955750:  Rb. 0x0d817
1958625:  R.. 0x0d407
1961375:  R.. 0x0d807
1963250:  Rb. 0x0d817
1966125:  R.. 0x0d407
1968875:  R.. 0x0d600
1970750:  Rb. 0x0d601
1972625:  Rb. 0x0d602
1975000:  R.. 0x0d600
1976875:  Rb. 0x0d601
1978750:  Rb. 0x0d602
1982000:  W.. 0x1db3e
1985750:  R.. 0x0d807
1987625:  Rb. 0x0d817
1990500:  R.. 0x0d407
1993250:  R.. 0x0d807
1995125:  Rb. 0x0d817
1998000:  R.. 0x0d407
2000750:  R.. 0x0d600
2002750:  Rb. 0x0d601
2004625:  Rb. 0x0d602
2006875:  R.. 0x0d600
2008750:  Rb. 0x0d601
2010625:  Rb. 0x0d602
2013000:  R.. 0x19b3f
2015875:  R.. 0x0d807
2017750:  Rb. 0x0d817
2020500:  R.. 0x0d407
2023375:  R.. 0x0d807
2025250:  Rb. 0x0d817
2028000:  R.. 0x0d407
2030875:  R.. 0x0d600
2032750:  Rb. 0x0d601
2034625:  Rb. 0x0d602
2036875:  R.. 0x0d600
2038750:  Rb. 0x0d601
2040625:  Rb. 0x0d602
2043000:  W.. 0x1db3f
2045875:  R.. 0x0d807
2047750:  Rb. 0x0d817
2050500:  R.. 0x0d407
2053375:  R.. 0x0d807
2055250:  Rb. 0x0d817
2058000:  R.. 0x0d407
2075875:  R.. 0x19b40
2085250:  R.. 0x0d600
2088000:  W.. 0x1db40
2090875:  R.. 0x1ffff
2092750:  Rb. 0x1ffff
2094625:  Rb. 0x1ffff
2096500:  Rb. 0x1ffff
2100250:  R.. 0x0d604
2105875:  R.v 0x05c00
2107750:  Rbv 0x05c01
2109625:  Rbv 0x05c02
2111500:  Rbv 0x05c03
2115125:  R.. 0x0d608
2118000:  R.. 0x19b41
2120750:  R.v 0x05c04
2122625:  Rbv 0x05c05
2124500:  Rbv 0x05c06
2126375:  Rbv 0x05c07
2130125:  R.. 0x0d60c
2133000:  R.. 0x0dcff
2135750:  R.v 0x05c08
2137625:  Rbv 0x05c09
2139500:  Rbv 0x05c0a
2141375:  Rbv 0x05c0b
2145125:  R.. 0x0d610
2148000:  W.. 0x1db41
2150750:  R.v 0x05c0c
2152625:  Rbv 0x05c0d
2154500:  Rbv 0x05c0e
2156375:  Rbv 0x05c0f
2160125:  R.. 0x0d614
2165750:  R.v 0x05c10
2167625:  Rbv 0x05c11
2169500:  Rbv 0x05c12
2171375:  Rbv 0x05c13
2175125:  R.. 0x0d618
2178000:  R.. 0x19b42
2180750:  R.v 0x05c14
2182625:  Rbv 0x05c15
2184500:  Rbv 0x05c16
2186375:  Rbv 0x05c17
2190125:  R.. 0x0d61c
2193000:  R.. 0x1ddff
2195750:  R.v 0x05c18
2197625:  Rbv 0x05c19
2199500:  Rbv 0x05c1a
2201375:  Rbv 0x05c1b
2205125:  R.. 0x0d620
2207875:  W.. 0x1db42
2210750:  R.v 0x05c1c
2212625:  Rbv 0x05c1d
2214500:  Rbv 0x05c1e
2216375:  Rbv 0x05c1f
2220125:  R.. 0x0d624
