 2750:  R.. 0x0bebf
3678750:  R.. 0x183d9
3690000:  W.. 0x1c3d9
3705000:  R.. 0x144b3
3720000:  R.. 0x183da
3731250:  R.. 0x0ecff
3735000:  W.. 0x1c3da
3738750:  R.. 0x144b4
3765000:  R.. 0x183db
3772500:  R.. 0x144b5
3776250:  W.. 0x1c3db
3791250:  R.. 0x1edff
3806250:  R.. 0x144b6
3810000:  R.. 0x183dc
3821250:  W.. 0x1c3dc
3840000:  R.. 0x144b7
3851250:  R.. 0x0eeff
3855000:  R.. 0x183dd
3866250:  W.. 0x1c3dd
3870000:  R.. 0x144b8
3896250:  R.. 0x183de
3903750:  R.. 0x144b9
3907375:  W.. 0x1c3de
3911125:  R.. 0x1efff
3937375:  R.. 0x144ba
3941125:  R.. 0x183df
3952375:  W.. 0x1c3df
3971250:  R.. 0x0f0ff
3975000:  R.. 0x144bb
3982500:  R.. 0x183e0
3993750:  W.. 0x1c3e0
4005000:  R.. 0x144bc
4023750:  R.. 0x183e1
4031250:  R.. 0x1f1ff
4035000:  W.. 0x1c3e1
4038750:  R.. 0x144bd
4065125:  R.. 0x183e2
4072625:  R.. 0x144be
4076375:  W.. 0x1c3e2
4091375:  R.. 0x0f2ff
