1167:  RbN 0x17ea7  RbN 0x17ea7  RbN 0x17ea7  RbN 0x17ecf
1171:  RbN 0x17ea7  RbN 0x17ea7  RbN 0x17ea7  RbN 0x17ecf
1183:  R.p 0x0ffed  R.p 0x0ffee  R.p 0x0ffef  R.p 0x0ffe8
1189:  R.p 0x0fffd  R.p 0x0fffe  R.p 0x0ffff  R.p 0x0fff8
1195:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff
1201:  R.P 0x1ffff  R.P 0x1ffff  R.P 0x1ffff

d = dummy
P = dummy
N = dummy name-table reads
C = dummy

p = pattern-table
n = name-table
