973125:  R.. 0x1ffff
975875:  R.. 0x0b0bf
978625:  R.v 0x05fa8
980500:  Rbv 0x05fa9
982375:  Rbv 0x05faa
984375:  Rbv 0x05fab
988125:  R.. 0x1ffff
993750:  R.v 0x05fac
995625:  Rbv 0x05fad
997500:  Rbv 0x05fae
999375:  Rbv 0x05faf
1003125:  R.. 0x1ffff
1008750:  R.v 0x05fb0
1010625:  Rbv 0x05fb1
1012500:  Rbv 0x05fb2
1014375:  Rbv 0x05fb3
1018125:  R.. 0x1ffff
1023750:  R.v 0x05fb4
1025625:  Rbv 0x05fb5
1027500:  Rbv 0x05fb6
1029375:  Rbv 0x05fb7
1033125:  R.. 0x1ffff
1036000:  R.. 0x1b1bf
1038750:  R.v 0x05fb8
1040625:  Rbv 0x05fb9
1042500:  Rbv 0x05fba
1044375:  Rbv 0x05fbb
1048125:  R.. 0x1ffff
1053750:  R.v 0x05fbc
1055625:  Rbv 0x05fbd
1057500:  Rbv 0x05fbe
1059375:  Rbv 0x05fbf
1063250:  R.. 0x1ffff
1068750:  R.v 0x05fc0
1070625:  Rbv 0x05fc1
1072625:  Rbv 0x05fc2
1074500:  Rbv 0x05fc3
1078250:  R.. 0x1ffff
1083875:  R.v 0x05fc4
1085750:  Rbv 0x05fc5
1087625:  Rbv 0x05fc6
1089500:  Rbv 0x05fc7
1093250:  R.. 0x1ffff
1096000:  R.. 0x0b2bf
1098875:  R.v 0x05fc8
1100750:  Rbv 0x05fc9
1102625:  Rbv 0x05fca
1104500:  Rbv 0x05fcb
1108250:  R.. 0x1ffff
1113875:  R.v 0x05fcc
1115750:  Rbv 0x05fcd
1117625:  Rbv 0x05fce
1119500:  Rbv 0x05fcf
1123250:  R.. 0x1ffff
1128875:  R.v 0x05fd0
1130750:  Rbv 0x05fd1
1132625:  Rbv 0x05fd2
1134500:  Rbv 0x05fd3
1138250:  R.. 0x1ffff
1143875:  R.v 0x05fd4
1145750:  Rbv 0x05fd5
1147625:  Rbv 0x05fd6
1149500:  Rbv 0x05fd7
1153250:  R.. 0x1ffff
1156000:  R.. 0x1b3bf
1158875:  R.v 0x05fd8
1160750:  Rbv 0x05fd9
1162625:  Rbv 0x05fda
1164500:  Rbv 0x05fdb
1168250:  R.. 0x1ffff
1173875:  R.v 0x05fdc
1175750:  Rbv 0x05fdd
1177625:  Rbv 0x05fde
1179500:  Rbv 0x05fdf
1183250:  R.. 0x1ffff
1188750:  R.v 0x05fe0
