# Reconstructed CPU request cycles (fit_2026.cc --trellis).
# Per capture: phi is the pin delay used, eps the per-edge tolerance.
# edge  t2 (/CSx rise, VDP cycles)  T (cycle the arbiter saw it)  slot (RAS granted)  dev
# dev = T - floor(t2 + phi), non-zero only for an edge that the
# tolerance let tip to the neighbouring cycle. Only captures whose
# reconstruction reproduced the .txt exactly are listed.

capture scr5-dispOff-stop-rdwrCpu-1g.txt  mode dispOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 11.03026  eps 0.00000  edges 115  grants 113  pre-capture request no
 114   9004.808    9015     9036     0  outside

capture scr5-dispOff-stop-rdwrCpu-3g.txt  mode dispOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 10.76694  eps 0.25000  edges 114  grants 114  pre-capture request no
   0    562.976     573      596     0
   1    634.693     645      676     0
   2    706.143     716      732     0
   3    777.728     788      804     0
   4    849.044     859      876     0
   5    920.761     931      948     0
   6    992.211    1002     1020     0
   7   1063.928    1074     1092     0
   8   1135.379    1146     1164     0
   9   1206.829    1217     1268     0
  10   1278.280    1289     1308     0
  11   1349.997    1361     1384     1
  12   1421.447    1432     1448     0
  13   1493.032    1503     1532     0
  14   1564.655    1575     1596     0
  15   1814.958    1825     1844     0
  16   1886.408    1897     1916     0
  17   1957.993    1968     1988     0
  18   2029.616    2040     2060     0
  19   2101.026    2111     2132     0
  20   2172.476    2183     2204     0
  21   2244.193    2254     2276     0
  22   2315.644    2326     2348     0
  23   2387.228    2397     2428     0
  24   2458.545    2469     2492     0
  25   2530.262    2541     2564     0
  26   2601.712    2612     2636     0
  27   2673.429    2684     2702     0
  28   2744.879    2755     2776     0
  29   2816.330    2827     2848     0
  30   2887.780    2898     2916     0
  31   2959.497    2970     2988     0
  32   3030.948    3041     3060     0
  33   3102.532    3113     3132     0
  34   3173.849    3184     3204     0
  35   3245.566    3256     3284     0
  36   3317.016    3327     3348     0
  37   3388.733    3399     3420     0
  38   3460.183    3470     3492     0
  39   3531.768    3542     3564     0
  40   3603.084    3613     3636     0
  41   3674.801    3685     3708     0
  42   3746.252    3757     3780     0
  43   3817.969    3828     3844     0
  44   3889.419    3900     3924     0
  45   3961.004    3971     4004     0
  46   4032.320    4043     4060     0
  47   4104.037    4114     4136     0
  48   4175.487    4186     4208     0
  49   4247.072    4257     4276     0
  50   4318.695    4329     4348     0
  51   4390.105    4400     4420     0
  52   4461.556    4472     4492     0
  53   4533.273    4544     4564     0
  54   4604.723    4615     4636     0
  55   4855.066    4865     4884     0
  56   4926.517    4937     4956     0
  57   4998.234    5009     5036     0
  58   5069.684    5080     5100     0
  59   5141.269    5152     5172     0
  60   5212.585    5223     5244     0
  61   5284.302    5295     5316     0
  62   5355.752    5366     5388     0
  63   5427.469    5437     5464    -1
  64   5498.920    5509     5528     0
  65   5570.370    5581     5636     0
  66   5641.821    5652     5668     0
  67   5713.538    5724     5740     0
  68   5784.988    5795     5812     0
  69   5856.573    5867     5892     0
  70   5927.889    5938     5956     0
  71   5999.606    6010     6028     0
  72   6071.056    6081     6100     0
  73   6142.773    6153     6172     0
  74   6214.224    6224     6244     0
  75   6285.809    6296     6316     0
  76   6357.125    6367     6388     0
  77   6428.842    6439     6460     0
  78   6500.292    6511     6532     0
  79   6572.009    6582     6604     0
  80   6643.460    6654     6676     0
  81   6715.044    6725     6748     0
  82   6786.360    6797     6824     0
  83   6858.077    6868     6888     0
  84   6929.528    6940     6960     0
  85   7001.113    7011     7028     0
  86   7072.736    7083     7100     0
  87   7144.146    7154     7172     0
  88   7215.596    7226     7244     0
  89   7287.313    7298     7316     0
  90   7358.764    7369     7388     0
  91   7430.348    7441     7460     0
  92   7501.664    7512     7532     0
  93   7573.381    7584     7604     0
  94   7644.832    7655     7676     0
  95   7895.309    7906     7924     0
  96   7966.625    7977     7996     0
  97   8038.342    8049     8068     0
  98   8109.793    8120     8140     0
  99   8181.510    8192     8208     0
 100   8252.960    8263     8280     0
 101   8324.545    8335     8372     0
 102   8395.861    8406     8428     0
 103   8467.578    8478     8500     0
 104   8539.028    8549     8572     0
 105   8610.613    8621     8644     0
 106   8682.236    8693     8716     0
 107   8753.646    8764     8780     0
 108   8825.097    8835     8852     0
 109   8896.814    8907     8924     0
 110   8968.264    8979     8996     0
 111   9039.849    9050     9068     0
 112   9111.165    9121     9140     0
 113   9182.882    9193     9212     0

capture scr5-dispOff-stop-rdwrCpu-4g.txt  mode dispOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 10.97909  eps 0.01562  edges 115  grants 113  pre-capture request no
   0   1037.919    1048     1068     0  outside
   1   1109.369    1120     1140     0
   2   1359.847    1370     1392     0
   3   1431.164    1442     1464     0
   4   1502.881    1513     1532     0
   5   1574.331    1585     1604     0
   6   1645.916    1656     1676     0
   7   1717.499    1728     1748     0
   8   1788.949    1799     1820     0
   9   1860.400    1871     1892     0
  10   1932.117    1943     1964     0
  11   2003.568    2014     2044     0
  12   2075.152    2086     2108     0
  13   2146.469    2157     2180     0
  14   2218.186    2229     2252     0
  15   2289.636    2300     2316     0
  16   2361.354    2372     2388     0
  17   2432.804    2443     2460     0
  18   2504.389    2515     2532     0
  19   2575.705    2586     2636     0
  20   2647.422    2658     2676     0
  21   2718.873    2729     2752     0
  22   2790.458    2801     2824     0
  23   2862.041    2873     2900     0
  24   2933.491    2944     2964     0
  25   3004.942    3015     3036     0
  26   3076.659    3087     3108     0
